Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.8695,0.6153846153846154,0.11721611721611722,0.19692307692307692,0.7468688424102436
Random Forest,0.8665,0.8,0.029304029304029304,0.05653710247349823,0.7688998899189983
Gradient Boosting,0.869,0.6037735849056604,0.11721611721611722,0.19631901840490798,0.7785282657894124
XGBoost,0.8595,0.44871794871794873,0.1282051282051282,0.19943019943019943,0.7557580423822463
CatBoost,0.8685,0.5862068965517241,0.12454212454212454,0.2054380664652568,0.7792695627090531
